house_title,location,emi,price,bathroom,parking,localityTruncated,propertyType,state,typeDesc,propertySize
3 BHK Flat  In Empire Square Hsg Society For Sale  In Chinchwad,Chinchwad,1.12 Lacs/Month,19500000,3,BOTH,Chinchwad,BUY,READY,3 BHK,1500
2 BHK Flat  In West Wind Society For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"48,717/Month",8500000,2,FOUR_WHEELER,Pimpri-Chinchwad,BUY,READY,2 BHK,875
1 BHK Flat  In Daya Apartment Akurdi For Sale  In Akurdi Gaothan,Akurdi gaothan,"11,462/Month",2000000,1,TWO_WHEELER,Akurdi gaothan,BUY,READY,1 BHK,435
1 BHK Flat  For Sale  In Chinchwad,Chinchwad,"20,633/Month",3600000,1,NONE,Chinchwad,BUY,READY,1 BHK,700
1 BHK Flat  In Vedant For Sale  In Wakad,Wakad,"28,657/Month",5000000,1,BOTH,Wakad,BUY,READY,1 BHK,575
3 BHK Flat  In Empire Square For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"80,240/Month",14000000,2,BOTH,Pimpri Chinchwad,BUY,READY,3 BHK,1300
1 BHK Flat  In Shraddha Apartment For Sale  In Nigdi,Nigdi,"22,925/Month",4000000,1,BOTH,Nigdi,BUY,READY,1 BHK,560
3 BHK Flat  In Empire Square For Sale  In Chinchwad,Chinchwad,"94,568/Month",16500000,2,FOUR_WHEELER,Chinchwad,BUY,READY,3 BHK,1400
1 BHK Flat  In Chandramouli Apt For Sale  In Chinchwad,Chinchwad,"22,811/Month",3980000,1,TWO_WHEELER,Chinchwad,BUY,READY,1 BHK,675
2 BHK Flat  In Rajhans B Wing For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"40,120/Month",7000000,1,TWO_WHEELER,Pimpri-Chinchwad,BUY,READY,2 BHK,1000
2 BHK House  For Sale  In Akurdi,Akurdi,"11,462/Month",2000000,1,TWO_WHEELER,Akurdi,BUY,READY,2 BHK,1000
1 BHK Flat  In Goyal Darshan Nagari For Sale  In Chinchwad,Chinchwad,"20,060/Month",3500000,1,TWO_WHEELER,Chinchwad,BUY,READY,1 BHK,560
2 BHK Flat  In Kunal Estate For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"31,522/Month",5500000,1,TWO_WHEELER,Pimpri-Chinchwad,BUY,READY,2 BHK,904
1 BHK Flat  In Goyal Garima For Sale  In Goyal Garima Apartment,Goyal Garima Apartment,"29,803/Month",5200000,1,NONE,Goyal Garima Apartment,BUY,READY,1 BHK,700
2 BHK Flat  In Yash Housing Society For Sale  In Chinchwad,Chinchwad,"37,254/Month",6500000,1,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,850
3 BHK In Hdfc Colony For Sale  In Chinchwad,Chinchwad,1.32 Lacs/Month,23000000,2,FOUR_WHEELER,Chinchwad,BUY,READY,3 BHK,1800
2 BHK Flat  In Sejal Park For Sale  In Chinchwad,Chinchwad,"40,120/Month",7000000,1,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,870
1 RK Flat  In Rohit Residency For Sale  In Hadapsar,Hadapsar,"8,024/Month",1400000,1,TWO_WHEELER,Hadapsar,BUY,READY,1 RK,373
1 RK Flat  In Rohit Residency For Sale  In Hadapsar,Hadapsar,"8,024/Month",1400000,1,TWO_WHEELER,Hadapsar,BUY,READY,1 RK,373
2 BHK Flat  In Elegant Residency For Sale  In Nigdi,Nigdi,"40,120/Month",7000000,2,BOTH,Nigdi,BUY,READY,2 BHK,895
2 BHK Flat  In Imperial Heights For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"31,522/Month",5500000,2,FOUR_WHEELER,Pimpri-Chinchwad,BUY,READY,2 BHK,980
1 BHK Flat  In Ganraj  Construction  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"20,060/Month",3500000,1,TWO_WHEELER,Pimpri-Chinchwad,BUY,READY,1 BHK,575
2 BHK House  For Sale  In Nigdi,Nigdi,"45,851/Month",8000000,2,TWO_WHEELER,Nigdi,BUY,READY,2 BHK,1280
2 BHK Flat  In Nb Arcade For Sale  In Akurdi,Akurdi,"28,657/Month",5000000,1,BOTH,Akurdi,BUY,READY,2 BHK,650
1 BHK Flat  In Gayatri Apartments For Sale  In Nigdi,Nigdi,"20,060/Month",3500000,1,TWO_WHEELER,Nigdi,BUY,READY,1 BHK,600
3 BHK Flat  In Morya Park For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"45,851/Month",8000000,2,FOUR_WHEELER,Pimpri Chinchwad,BUY,READY,3 BHK,1250
3 BHK House  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"57,314/Month",10000000,3,BOTH,Pimpri-Chinchwad,BUY,READY,3 BHK,1800
"2 BHK Flat  For Sale  In Keshav Nagar, Chinchwad","Keshav Nagar, Chinchwad","27,510/Month",4800000,2,BOTH,"Keshav Nagar, Chinchwad",BUY,READY,2 BHK,1180
1 BHK Flat  In Vitthal Rukmini Chs For Sale  In Akurdi,Akurdi,"18,913/Month",3300000,1,FOUR_WHEELER,Akurdi,BUY,READY,1 BHK,650
1 BHK Flat  In Laxmi Niwas  For Sale  In Talwade,Talwade,"14,328/Month",2500000,1,NONE,Talwade,BUY,READY,1 BHK,100
1 BHK House  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"14,328/Month",2500000,1,BOTH,Pimpri-Chinchwad,BUY,READY,1 BHK,623
2 BHK Flat  In Shubhashree Residential For Sale  In Akurdi,Akurdi,"51,583/Month",9000000,2,TWO_WHEELER,Akurdi,BUY,READY,2 BHK,950
"1 BHK Flat  In Balaji Heights, Mohan Nagar, Chinchwad,pune For Sale  In Chinchwad",Chinchwad,"18,340/Month",3200000,1,TWO_WHEELER,Chinchwad,BUY,READY,1 BHK,577
2 BHK Flat  In Nivrutti Walhekar Heights For Sale  In Chinchwad,Chinchwad,"29,803/Month",5200000,1,BOTH,Chinchwad,BUY,READY,2 BHK,690
"2 BHK Flat  In Heramb Residency For Sale  In Pimpri-chinchwad,","Pimpri-Chinchwad,","37,254/Month",6500000,2,BOTH,"Pimpri-Chinchwad,",BUY,READY,2 BHK,950
2 BHK Flat  In Pavani Pride For Sale  In Nigdi,Nigdi,"34,388/Month",6000000,2,BOTH,Nigdi,BUY,READY,2 BHK,889
